Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
API Gateway Request,300,569,145,3427,779.67,7.000%,13.36362,4.53,2.75,347.5
TOTAL,300,569,145,3427,779.67,7.000%,13.36362,4.53,2.75,347.5
