Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
API Gateway Request,200,472,140,3227,674.22,4.500%,15.07954,5.17,3.11,350.8
TOTAL,200,472,140,3227,674.22,4.500%,15.07954,5.17,3.11,350.8
